ad_iD,Collector name,Shop Name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact,File_name
1,Jaamac,sample1,New car land cruiser for sale,This car is for sale for 20000$ if interstted text me,,toyota,land cruiser,"20,000$",2020,Cars,TRUE,Hargiesa,,
2,Jaamac,sample2,New mobile apple for sale,This phone is for sale for 1000$ ,,apple,iphone 12 pro,"1,000$",-,Devices,TRUE,Hargiesa,,
3,Jaamac,1- ISOm ,New mobile apple for sale ,This phone is for sale for 460$,https://drive.google.com/file/d/1NtkwDKK15p3s7yhu7tHQLW6TFvgf04xy/view?usp=drivesdk,Apple,iPhone XR,460$,-,Devices,TRUE,Hargeisa ,Call:0634742300 or 0634653352 ,3dbd6ea8-dd77-451d-ae6a-155c3c661dbf.JPG
4,Jaamac,1-ISOm,New mobile app for sale ,This phone is for sale for 1400$,https://drive.google.com/file/d/1zqL1K5qkSjLP2qCL5_UquwhSw10CeN_V/view?usp=drivesdk,Apple ,iPhone 13 pro max,"1,400",-,Devices,TRUE,HARGEISA ,Call:0634742300 or 0634653352 ,527df72b-ccc6-4b2a-a333-4659ce906fb2.JPG
5,Jaamac,1-ISOm ,New mobile app for sale,This phone is for sale  530$,https://drive.google.com/file/d/1kd5SY5GA80ob7cv7S7qepX5gHWK8UXKN/view?usp=drivesdk,Apple ,iPhone Xmax ,530$,-,Devices,TRUE,HARGEISA ,Call:0634742300 or 0634653352 ,b73c4cfd-086f-4971-871a-4715a87692a9.JPG
6,Jaamac,1-ISOm ,New mobile app for sale,This phone is for sale 530$,https://drive.google.com/file/d/1hKp2YV-A4QHwiJDQPY_B7e9mK_a2gO-H/view?usp=drivesdk,Apple ,iPhone X,530$,-,Devices,TRUE,Hargeisa ,Call:0634742300 or 0634653352 ,ab9811ce-8068-4fa3-ac8b-37698e3985ad.JPG
7,Jaamac,1-ISOm ,New mobile app for sale,This phone is for sale 550 $,https://drive.google.com/file/d/1WB62lhWimggfZmSWgNGSqLom729-z0sN/view?usp=drivesdk,Apple ,iPhone 11,550$,-,Devices,TRUE ,HARGEISA ,Call:0634742300 or 0634653352 ,d267a1ce-f365-4497-af7a-690815e1aba1.JPG
8,Jaamac,2-Macmiil online , New Smart watch for sale ,This watch is for sale 50$,https://drive.google.com/file/d/1Sgzvxqmb9SXpd3U_UYG537HGszAcwkGh/view?usp=drivesdk,Apple ,Smart watch,50$,-,Devices,TURN ,HARGEISA ,Coll : 0634775543,85e0bff0-ce84-4b2b-bdc3-5491cfc183fb.JPG
9,Jaamac,2-Macmiil online ,New Auto magnetic Mug for sale ,Alinshi Auto Magnetic Mug - Electric Self Stirring Coffee / Mixing Cup for Coffee / Tea / Hot Chocolate,https://drive.google.com/file/d/1QzPyHd7S-Tpp8w36Z2H8oXaJTI4NG6BW/view?usp=drivesdk,	Alinshi,Auto ,13$,-,Devices,TRUE ,HARGEISA ,Coll:0634775543,8cef78ee-af5e-4c92-9324-2fc2ba6edeb4.JPG
10,Jaamac,2-Macmiil online ,New fast grow for sale ,This faster grow 86$,https://drive.google.com/file/d/1ErPWNVK2fkCn8J8Y35R0yQhoQbshTItU/view?usp=drivesdk,fast grow protein,USN hardcore,86$,-,Food and Beverage,TRUE ,HARGEISA ,Coll:0634775543,bb2f17e9-2aad-415f-bc1a-def4ff9a37ed.JPG
